page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,She ugly. He say...,Celie Childhood home,economic,Albert/Mr. ___,livestock,good,Alphonso,Radek Magulick 
9,That cow still coming? Her...,Celie Childhood home,economic,Albert/Mr. ___,livestock,good,Alphonso,Radek Magulick 
10,,,,,,,,
11,,,,,,,,
12,"She say, Naw, he won't...",Celie Childhood home,economic,Alphonso,good,money,,Radek Magulick 
12,They sit and they talk,Celie Childhood home,economic,Alphonso,good,money,,Radek Magulick 
13,I was in town sitting on ,Town,movement,,,,,Jake Henry 
13,Her ma is buying cloth. she ,Unnamed store in town (fabric),economic,Corrine ,good,money,Unnamed store clerk fabric,Jake Henry 
14,,,,,,,,
15,,,,,,,,
16,Nettie here with us. she run,Celie and Albert House,movement,,,,,Jake Henry 
17,,,,,,,,
18,,,,,,,,
19,Two of his siser come to visit,Celie and Albert House,movement,,,,,Jake Henry 
20,go with me in the store ,Unnamed store in town (dress),movement,,,,,Jake Henry 
21,First one in my own dress ,Unnamed store in town (dress),economic,Kate,good,money,Unnamed store clerk dress store,Jake Henry 
22,"Harpo ast me, How come you",Celie and Albert House,movement,,,,,
23,,,,,,,,
24,Shug Avery is coming,Town,movement,,,,,Jake Henry 
25,,,,,,,,
26,Mr.__ be gone all night Saturday,Celie and Albert House,movement,,,,,Jake Henry 
27,Harpo no better at fighting his ,Celie and Albert House,movement,,,,,Jake Henry 
28,He say he sit in the,Town,movement,Harpo,,,,Kyle Carey 
29,Then he go sit on the,Celie and Albert House,movement,Harpo,,,,Kyle Carey 
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,"Dear God, Harpo went and brought",Sofia's sister's house,movement,Sofia,,,,Kyle Carey 
34,,,,,,,,
35,"Dear God, Harpo want to know",Celie and Albert House,movement,Celie,,,,Kyle Carey 
36,,,,,,,,
37,"Dear God, Just when I was",Celie and Albert House,movement,Celie,,,,Kyle Carey 
38,Mr. _ start complaining bout the,Celie and Albert House,economic,Albert/Mr. ___,good,,,Kyle Carey 
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,He talk bout a strumpet in ,"Memphis, TN",movement,,,,,Doria Guadagnoli
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,"Dear God, Mr. ____daddy show up ",Celie and Albert House,movement,,,,,Doria Guadagnoli
54,"Next one come visit, his brother ",Celie and Albert House,movement,,,,,Doria Guadagnoli
55,,,,,,,,
56,,,,,,,,
57,"Dear God, Me and Sofia work",Celie and Albert House,movement,,,,,Tyler Heron 
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,"Dear God, Harpo staying with us",Celie and Albert House,movement,,,,,Tyler Heron 
62,,,,,,,,
63,"Dear God, I go visit Sofia",Harpo and Sofia's house,movement,,,,,Tyler Heron 
64,,,,,,,,
65,,,,,,,,
66,"Dear God, Sofia right about her sisters",Harpo and Sofia's house,movement,,,,,Tyler Heron 
67,,,,,,,,
68,"Dear God, Sofia gone six months",Celie and Albert House,movement,,,,,Tyler Heron 
69,,,,,,,,
70,"Dear God, the first week, nobody",Harpo and Sofia's house,,,,,,
70,"He got cold drinks, he got barbecue",Harpo and Sofia's house,economic,Harpo,good,,,Tyler Heron 
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
