name,mappable,coordinates
"Bois Sauvage, MS",TRUE,"30.37877669386771, -89.26344602946764"
"St. Catherine, MS",TRUE,"30.315668959405787, -89.23958509830771"
Batiste Property ,TRUE,"30.400637931513852, -89.26806244331303"
Grocery store in St. Catherine,FALSE,"30.443067376446155, -89.0553816234266"
Hospital,FALSE,"30.368871320395016, -89.1140148753865"
Feed store,FALSE,"30.47949097202286, -88.84421123466053"
Gas station near interstate,FALSE,"30.403299510701547, -89.2676805526253"
"""Some White People's House"" and their barn",FALSE,"30.40185596106536, -89.26908066564593"
The Woods,TRUE,"30.401175819706324, -89.26848521528085"
The Bay of Angels,TRUE,"28.95154615535876, -113.56258504684709"
The Tree by Mother Lizabeth + Papa Joseph's house,FALSE,"30.400898209627034, -89.26805069744684"
Mother Lizabeth + Papa Joseph's attic,TRUE,"30.401300743984557, -89.2680989772062"
Mudda Ma'am's house,FALSE,"30.400578957060162, -89.26581373526444"
"Buras-Triumph, ",TRUE,"29.344314906613032, -89.51623632064016"
,FALSE,
