page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by
1,China's turned on herself. If I,Batiste Property ,movement,,,,,Cam Rutz
2,said she told him she didn't,"Bois Sauvage, MS",,,,,,Cam Rutz
3,"in the shed, waiting for the birth","Bois Sauvage, MS",,,,,,Cam Rutz
4,that is what killed Mama. I,"Bois Sauvage, MS",,,,,,Cam Rutz
5,Junior rolled over in his bed,"Bois Sauvage, MS",,,,,,Cam Rutz
6,You act like you ancient- you,"Bois Sauvage, MS",,,,,,Cam Rutz
7,week it's a new storm. Ain't ,"Bois Sauvage, MS",,,,,,Cam Rutz
8,Careful! Randall says. Skeetah has startled,"Bois Sauvage, MS",,,,,,Cam Rutz
9,lets go of the towel and ,"Bois Sauvage, MS",,,,,,Cam Rutz
10,"What's up? Bout time, Daddy said","Bois Sauvage, MS",,,,,,Cam Rutz
11,wide blunt fingers swallowing Marquise's skinny,"Bois Sauvage, MS",,,,,,Cam Rutz
12,Let me see. He pushed around ,"Bois Sauvage, MS",,,,,,Cam Rutz
13,so much money from fighting him,"Bois Sauvage, MS",economic,,,,,Doria Guadagnoli
14,,Batiste Property ,,,,,,
15,,Batiste Property ,,,,,,
16,,Batiste Property ,,,,,,
17,,Batiste Property ,,,,,,
18,,Batiste Property ,,,,,,
19,,Batiste Property ,,,,,,
20,,Batiste Property ,,,,,,
21,,Batiste Property ,,,,,,
22,Mama taught me how to find ,Batiste Property ,movement,,,,,
23,,Batiste Property ,,,,,,
24,,Batiste Property ,,,,,,
25,,Batiste Property ,,,,,,
26,"Big Henry, who can buy beer",Gas station near interstate,economic,Big Henry,good,money,Unknown cashier,Josie Fertig
27,Most times when we go to,Grocery store in St. Catherine,movement,,,,,Josie Fertig
28,He always gets the same kind,Grocery store in St. Catherine,economic,Skeetah,good,money,Cashier at grocery store,Josie Fertig
28,Daddy once bought Skeet a big,Feed store,economic,Daddy,good,money,Unknown cashier,Josie Fertig
29,his hands balled into stealing fists,Batiste Property ,economic,Skeetah,money,theft,Daddy,Josie Fertig
30,pregnancy test I ripped out of ,Grocery store in St. Catherine,economic,Esch,good,theft,,Josie Fertig
31,,,,,,,,
32,,,,,,,,
33,once he brought home a pit,Batiste Property ,economic,Skeetah,good,theft,,Josie Fertig
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,Alex Greeves
40,,,,,,,,Alex Greeves
41,,,,,,,,Alex Greeves
42,,,,,,,,Alex Greeves
43,,,,,,,,Alex Greeves
44,,,,,,,,Alex Greeves
45,"Skeetah has stolen this: bread, a knife...",Grocery store in St. Catherine,economic,Skeetah,good,theft,,Alex Greeves
46,,,,,,,,Alex Greeves
47,When we get back to the...,The Woods,movement,Skeetah,,,,Alex Greeves
48,,,,,,,,Alex Greeves
49,,,,,,,,Matt Gowel
50,,,,,,,,Matt Gowel
51,,,,,,,,Matt Gowel
52,,,,,,,,Matt Gowel
53,,,,,,,,Matt Gowel
54,,,,,,,,Matt Gowel
55,,,,,,,,Matt Gowel
56,,,,,,,,Matt Gowel
57,,,,,,,,Matt Gowel
58,Walking toward Mother Lizbeth and Papa,Mother Lizabeth + Papa Joseph's attic,movement,Esch,,,,Kyle Carey
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,This is where Skeetah says,Batiste Property ,movement,Esch,,,,Kyle Carey
66,"Away from the Pit, the pine",The Woods,movement,Esch,,,,Kyle Carey
67,Beyond the barbed wire and the,"""Some White People's House"" and their barn",movement,Esch,,,,Kyle Carey
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,"""Some white people's, Juinor,"" Randall answers.",The Woods,movement,Randall,,,,Kyle Carey
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,"""Skeetah is all foreamrms and kness,...""","""Some White People's House"" and their barn",movement,,,,,Daniel C.Hamby
77,,,,,,,,
78,"""The truck is pulling up the...""","""Some White People's House"" and their barn",,,,,,Daniel C.Hamby
79,,,,,,,,
80,"""We come to a hill, barren...""",The Woods,movement,,,,,Daniel C.Hamby
81,"""The cow wormer.""","""Some White People's House"" and their barn",economic,Skeetah,good,theft,,Daniel C.Hamby
82,"""Twist jumps and runs, limping like...""",Batiste Property ,movement,,,,,Daniel C.Hamby
83,"""BODIES TELL STORIES. This is what...""",Batiste Property ,movement,,,,,Daniel C.Hamby
84,,,,,,,,
85,"""Daddy used to take us swimming...""",The Bay of Angels,movement,,,,,Daniel C.Hamby
86,,,,,,,,Daniel C.Hamby
87,,,,,,,,Daniel C.Hamby
88,Daddy is secreted like a snake...,"Bois Sauvage, MS",economic,,good,money,,Tyler Heron
89,,,,,,,,
90,,,,,,,,
91,She watched kids for money while...,Mudda Ma'am's house,economic,Daddy,service,money,,Tyler Heron
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,"""I took it from behind the...""","Bois Sauvage, MS",economic,Skeetah,good,theft,,Tyler Heron
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,I see Skeetah dragging wood to,Batiste Property ,economic,Skeetah,good,theft,,Wren Griner
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,I take breaks and sneak cans,Batiste Property ,economic,Esch,good,theft,Daddy,Wren Griner
109,I grab another can of sausages,Batiste Property ,economic,Esch,good,theft,Daddy,Wren Griner
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,As we walk into the center ,"Bois Sauvage, MS",movement,,,,,Jake Henry
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,"Scudding clouds, all the way home",Batiste Property ,movement,,,,,Jake Henry
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,There were too many of us,Hospital,movement,,,,,Michelle Morris
132,,,,,,,,
133,Daddy's hand would not emerge whole,Batiste Property ,movement,,,,,Michelle Morris
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,my shorts so they are not ,"St. Catherine, MS",movement,,,,,Michelle Morris
141,,,,,,,,
142,"""Yeah.""""What's been done been done.""","St. Catherine, MS",economic,Junior,money,,Big Henry,Michelle Morris
143,,,,,,,,
144,Go 'head. Stay away from the,"St. Catherine, MS",economic,Junior,good,money,Big Henry,Calum O'Brien
145,,,,,,,,
146,trading small candies they are sucking,"St. Catherine, MS",economic,,good,good,,Calum O'Brien
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,"""Esch?' Junior touches me, and I...""",Batiste Property ,movement,,,,,Jacob Dinman
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,"""The clearing is a wide oval...""",The Woods,movement,,,,,Jacob Dinman
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,"Make them know, make them know…",Batiste Property ,economic,Skeetah,service,money,,Radek Magulick
172,,,economic,,,,,
173,"She ain't shit, ain't got",Batiste Property ,economic,,service,money,,Radek Magulick
174,He wiped the blood from,Batiste Property ,economic,,good,money,,Radek Magulick
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,He pulled the rag tighter around,"Bois Sauvage, MS",economic,Skeetah,good,money,,Radek Magulick
180,,,,,,,,
181,,,,,,,,
182,It is scheduled to make landfall,"Buras-Triumph, ",movement,,,,,Danny Lyman
183,"At the gas station, Randall doesn't",Gas station near interstate,economic,Esch,good,money,Unknown cashier,Danny Lyman
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
