page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by,notes,Feedback
1,,,,,,,,,,
2,,,,,,,,,,
3,"The next morning, Tuscalusa wrapped the...",Yanàbi Town,movement,,,,,Chloe Holloway,"traveled to meet the inavder, Hispano de Soto (unknown destination)",
4,,,,,,,,,,
5,She was to exchange vegetable seeds...,Yanàbi Town,economic,Anoleta,good,good,Chickasaw villager,Chloe Holloway,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,Often he would spy on our...,Yanàbi Town,economic,Red Shoes,good,service,Inklish Okla,Chloe Holloway,Red Shoes betrayed Choctaws for his own richness,
12,I put on my deerskin dress ,,economic,Shakbatina,good,good,,Radek Magulick,Deerskin dress and porcupine sash given to her from husband as a gift.,
13,,,,,,,,,,
14,,,,,,,,,,
15, painted my face red.,Yanàbi Town,economic,Shakbatina,good,,,Radek Magulick,Red paint was purchased.,
16,,,,,,,,,,
17,,,,,,,,,,
18,They gave me a black stone,Yanàbi Town,economic,Shakbatina,good,service,,Radek Magulick,"During a ceremonial preparation for her sacrificial death, Shakbatina undergoes a purification ritual in which a black stone is used to spiritually cleanse and connect her to the ancestors.",
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,I'm so thankful the old chiefs...,"Durant, Oklahoma ",economic,The starving Irish,,money,Old Chiefs,Tyler Heron,700 dollars donated from old chiefs during the potato famine,
25,"""Call Ireland Monday, I've already got...","Durant, Oklahoma ",economic,Redford McAlester,money,theft,Genovese Family,Tyler Heron,,
25,"Finally, she opens the closet and...","Auda's home, Oklahoma",economic,Redford McAlester,good,money,,Tyler Heron,Imported dress Red bought Auda,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,Tema left Oklahoma in the spring...,"Dallas, Texas",movement,Tema Billy,,,,Tyler Heron,,
31,She enrolled in Okmulgee Tech to...,"Okmulgee, Oklahoma",economic,Tema Billy,money,service,,Tyler Heron,Tema worked as a plumber and pipe fitter at $6 an hour,
31,"At Okmulgee the next fall, her...","New York, New York",movement,Tema Billy,,,,Tyler Heron,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,"Besides, everything’s so retro in Dallas anyway.","Dallas, Texas",movement,,,,,Will Jones,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,She joined the firm in New Orleans,"New Orleans, Louisiana",movement,,,,,Will Jones,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,Together they walked her sister down,Hotel that Adair and Gore visit,movement,,,,,Wren Griner,Auda and Adair walk to the hotel,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,Adair has her trading desk sell her shares of General Electric,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,"Soper, Oklahoma ",,,,,,Doria Guadagnoli,,
67,Say what's on your mind. Well ,"Talihina, Oklahoma",movement,,,,,Doria Guadagnoli,Arrive at the Talihina Way Retirement Center to see Divine Sarah ,
