page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by,notes
1,,Eatonville,,,,,,Cam Rutz,"The first chapter does not give the setting, however in the foreword mentions the story begins with Janie returning to Eatonville from the everglades. "
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,"""Janie saw her life like a...""",Eatonville,,,,,,Jacob Dinman,"Chapter begins and dialogue refers to Janie talking to Phoebe, indicating Eatonville"
8,"""They was quality white folks up...""",West Florida,movement,,,,,Jacob Dinman,
9,"""Wouldn't have found it out then...""",West Florida,economic,Miss Washburn,good,money,Unknown photographer,Jacob Dinman,"Labled as good as the thing being purchased is the photo, not his services of taking the photo."
10,"""She got de land and everything...""",West Florida,economic,Nanny,land,money,Unknown,Jacob Dinman,Never specified how it was paid or where land is specifically 
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,"""Dat Mornin' on de big plantation...""",Savannah,movement,,,,,Jacob Dinman,
17,,,,,,,,,
18,,,,,,,,,
19,,West Florida,movement,,,,,Jacob Dinman,
20,,,,,,,,,
21,Logan and Janie got married in ,Nanny's Parlor,movement,,,,,Danny Lyman,
22,But nobody put anything on the,Logan Killicks Farm,movement,,,,,Danny Lyman,
23,,,,,,,,,
24,Then she went to see Nanny,Mrs. Washburn's kitchen,movement,,,,,Danny Lyman,
25,,,,,,,,,
26,Long before the year was up,Logan Killicks Farm,,,,,,Jake Henry,Chapter begins on the Logan's  Farm 
26,"""Over tuh Lake City tuh see""",Lake City ,economic,"Killicks, Logan",livestock,money,"unknown man, Logan see about the mule",Jake Henry,Logan leave their farm to go see an man in Lake City about a Mule 
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,"""Green Cove Springs,"" he told the driver",Green Cove Springs ,movement,,,,,Jake Henry,From Logan Killick's Farm to Green Cove Springs
34,On the train the next day,Eatonville,movement,,,,,Calum O'Brien,Janie and Joe Starks arrive in Eatonville
35,Joe Starks bought 200 acres,Eatonville,economic,"Starks, Jody",land,money,Unknown,Calum O'Brien,Joe purchases land to help solidify his leadership
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,"""De mayor of uh town lak...""",Eatonville,economic,"Starks, Jody",good,money,Unknown,Calum O'Brien,Joe orders a streetlamp to modernize Eatonville
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
51,Every morning the world flung itself,Eatonville,movement,,,,,Tyler Heron,
52,We better walk on down to,Lake Sabelia,movement,,,,,Tyler Heron,
54,Or maybe cheese was thirty-seven cents,Eatonville,economic,,food,money,Janie,Tyler Heron,
57,"All right, Brother Mayor. If you",Eatonville,economic,"Starks, Jody",livestock,money,Matt Bonner,Tyler Heron,
67,"""Heah come mah order right now""",Eatonville,,,,,,Chloe Holloway,
69,"""Me and Daisy done talked dat...""",Eatonville,,,,,,Chloe Holloway,
69,"""Humph! Is dat all? Ah'd buy...""",Eatonville,,,,,,Chloe Holloway,
70,"""Jim Weston had secretly borrowed a...""",Eatonville,,,,,,Chloe Holloway,
70,"""Finally she consented to take a...""",Eatonville,economic,Jim Weston,food,money,"Starks, Jody",Chloe Holloway,
70,"""Aw naw dey ain't Lum. Ah...""",Eatonville,economic,"Starks, Jody",good,money,Supplier in Jacksonville,Chloe Holloway,
82,"""So she bought a beef-bone""",Eatonville,economic,Janie,food,money,,Wren Griner,
91,"Six months of wearing black passed and not one suitor had
ever gained the house porch.",Eatonville,movement,,,,,Will Jones,
92,"She almost apologized to the tenants the first
time she collected the rents.",Eatonville,economic,,land,money,Janie,Will Jones,
