novel,location,lat,long,race_Black,race_White,gender_Female,gender_Male,class_Lower,class_Middle,class_Poor,class_Upper,Black_Female,White_Male,Black_Male,race_NativeAmerican,NativeAmerican_Female,NativeAmerican_Male,NativeAmerican_Group,White_Female
color_purple,Celie Childhood home,33.02050025,-83.38500892,4,0,0,4,4,0,0,0,0,0,4,NA,NA,NA,NA,NA
color_purple,Unnamed store in town (fabric),33.00037436,-83.55293526,1,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA
color_purple,Unnamed store in town (dress),33.00212894,-83.55048908,1,0,1,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
color_purple,Celie and Albert House,32.99976696,-83.55998407,1,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
color_purple,Harpo and Sofia's house,33.00023939,-83.5595764,1,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
color_purple,Miss Milli's house,32.99940258,-83.55703367,0,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA
color_purple,Olinka Village,6.251275916,-10.37888944,2,1,1,0,2,0,0,1,1,0,0,NA,NA,NA,NA,NA
color_purple,Africa,5.369085,-9.236846,2,1,2,1,2,1,0,0,2,1,0,NA,NA,NA,NA,NA
color_purple,Unknown place where Shug buys her clothing,35.13713103,-90.05711609,2,0,2,0,0,2,0,0,2,0,0,NA,NA,NA,NA,NA
color_purple,Unknown place where Shug buys her car,35.14237946,-90.05283734,1,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA
color_purple,"Memphis, TN",35.15221331,-90.06958209,3,0,3,0,0,2,1,0,3,0,0,NA,NA,NA,NA,NA
color_purple,West Coast Africa,16.18656285,-16.6650294,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
color_purple,Monrovia,6.310806,-10.810706,2,0,2,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA
color_purple,London,51.50515478,-0.14148688,1,0,1,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
color_purple,Celie's house,33.0095,-83.56,4,0,1,3,3,0,1,0,1,0,3,NA,NA,NA,NA,NA
salvage_the_bones,Gas station near interstate,30.40329951,-89.26768055,2,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
salvage_the_bones,Grocery store in St. Catherine,30.44306738,-89.05538162,3,NA,1,2,0,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA
