location,lat,long,food,good,land,livestock,money,service,NA
Eatonville,28.618579170446417,-81.38643808791495,5,4,2,1,1,NA,NA
Everglades,26.880865479163457,-80.44804338021213,NA,4,NA,NA,NA,2,1
Fort Lauderdale,26.12416,-80.14305,NA,NA,NA,NA,NA,1,NA
Fort Myers,26.64227,-81.8691,NA,NA,NA,NA,NA,1,NA
Janie and Tea Cake's House,26.834751662280585,-80.44334557182601,NA,1,NA,NA,NA,NA,NA
Lake City,30.189575765834622,-82.63817807919271,NA,NA,NA,1,NA,NA,NA
Maitland,28.627213436693335,-81.35370630800469,NA,1,NA,NA,NA,NA,NA
Okeechobee,27.24094388979997,-80.83412875570062,NA,1,NA,NA,NA,NA,NA
Orlando,28.54026337989474,-81.39224619001222,NA,12,NA,NA,NA,4,NA
Palm Beach,26.72641853933976,-80.00582721665843,NA,1,NA,NA,NA,1,NA
Unknown Place where Tea Cake buys car,28.559097751714123,-81.41983351361162,NA,1,NA,NA,NA,NA,NA
West Florida,30.1964196653029,-82.75701828222084,NA,1,1,NA,NA,NA,NA
