location,lat,long,location_type,n
Courthouse,26.72625150922696,-80.03341822858842,movement,1
Eatonville,28.618579170446417,-81.38643808791495,economic,13
Eatonville,28.618579170446417,-81.38643808791495,movement,4
Everglades,26.880865479163457,-80.44804338021213,economic,7
Everglades,26.880865479163457,-80.44804338021213,movement,5
Fort Lauderdale,26.12416,-80.14305,economic,1
Fort Myers,26.64227,-81.8691,economic,1
Green Cove Springs,29.992904183688125,-81.67746076856982,movement,1
Janie and Tea Cake's House,26.834751662280585,-80.44334557182601,economic,1
Janie and Tea Cake's House,26.834751662280585,-80.44334557182601,movement,1
Lake City,30.189575765834622,-82.63817807919271,economic,1
Lake Sabelia,28.62689023044156,-81.37226991636523,movement,1
Logan Killicks Farm,30.226356942379976,-82.75366921867388,movement,1
Maitland,28.627213436693335,-81.35370630800469,economic,1
Mrs. Washburn's kitchen,30.20309602685076,-82.76311406870325,movement,1
Nanny's Parlor,30.198198291315123,-82.75980837119296,movement,1
Okeechobee,27.24094388979997,-80.83412875570062,economic,1
Okeechobee,27.24094388979997,-80.83412875570062,movement,1
Orlando,28.54026337989474,-81.39224619001222,economic,16
Orlando,28.54026337989474,-81.39224619001222,movement,1
Palm Beach,26.72641853933976,-80.00582721665843,economic,2
Palm Beach,26.72641853933976,-80.00582721665843,movement,2
Sanford,28.80275110455224,-81.27080569029712,movement,1
Savannah,32.07705752286592,-81.07559215727095,movement,1
Tall House on mound,26.666323407626564,-80.60568295727589,movement,1
Unknown Place where Tea Cake buys car,28.559097751714123,-81.41983351361162,economic,1
West Florida,30.1964196653029,-82.75701828222084,economic,2
West Florida,30.1964196653029,-82.75701828222084,movement,1
Wreckage clearing site,26.43352,-80.03213,movement,1
six mile bridge,26.646187531112794,-80.57980500627374,movement,1
